type,count,mean,std,min,25%,50%,75%,max
author,100.0,1469.48,19.109191822816893,1442.0,1455.0,1465.0,1480.0,1523.0
badge,100.0,1352.34,20.03845797410065,1329.0,1339.0,1345.0,1361.25,1432.0
pseudo msg,100.0,1664.71,20.990760353117743,1627.0,1649.0,1656.0,1676.25,1737.0
pseudo vote,100.0,1431.03,20.08238335487402,1407.0,1415.0,1424.5,1441.25,1497.0
rate-limit pseudo,100.0,1701.76,19.391823748240597,1681.0,1688.0,1693.0,1714.25,1757.0
