type,count,mean,std,min,25%,50%,75%,max
author,100.0,193.3,13.072061347728894,148.0,188.75,194.0,200.0,228.0
badge,100.0,188.08,12.211668538117488,145.0,183.0,189.0,194.0,227.0
pseudo msg,100.0,255.89,16.423618740254916,223.0,249.0,256.0,262.0,348.0
pseudo vote,100.0,188.88,12.728937842014101,141.0,185.0,190.0,194.0,245.0
rate-limit pseudo,100.0,253.85,8.627387680046503,218.0,251.0,255.0,259.0,277.0
