type,count,mean,std,min,25%,50%,75%,max
author,100.0,74.86,6.823932928015971,52.0,75.0,77.0,79.0,87.0
badge,100.0,70.48,6.418848507451796,48.0,70.0,72.0,75.0,80.0
pseudo msg,100.0,132.28,5.60137068362321,115.0,133.0,134.0,135.0,140.0
pseudo vote,100.0,71.97,7.394312583726668,48.0,72.0,74.0,76.0,82.0
rate-limit pseudo,100.0,133.02,5.03719498663029,116.0,133.0,134.0,135.0,143.0
