type,start_ms,duration_ms
pseudo msg,1748651601964,135
pseudo msg,1748651613701,135
pseudo msg,1748651625427,134
pseudo msg,1748651637149,135
pseudo msg,1748651648900,131
pseudo msg,1748651660624,136
pseudo msg,1748651672426,116
pseudo msg,1748651684153,134
author,1748651704059,62
author,1748651714823,81
author,1748651725570,80
author,1748651736238,78
author,1748651746914,85
author,1748651757605,76
author,1748651768183,77
author,1748651778820,70
author,1748651789494,57
author,1748651800063,76
author,1748651810710,75
author,1748651821352,80
author,1748651832071,69
author,1748651842936,78
author,1748651853629,74
author,1748651864312,87
author,1748651874941,80
author,1748651885675,80
author,1748651896399,76
author,1748651907158,75
author,1748651917797,76
author,1748651928479,78
author,1748651939251,80
author,1748651949944,80
author,1748651960626,79
author,1748651971246,79
author,1748651981829,75
author,1748651992393,56
author,1748652003088,79
author,1748652013806,68
author,1748652024474,81
author,1748652035167,76
author,1748652045815,76
author,1748652056488,77
author,1748652067205,77
author,1748652077881,79
author,1748652088627,81
author,1748652099358,76
author,1748652110017,75
author,1748652120701,77
author,1748652131418,60
author,1748652142050,59
author,1748652152647,75
author,1748652163323,77
author,1748652174030,64
author,1748652184711,77
author,1748652195449,82
author,1748652206078,77
author,1748652216704,76
author,1748652227412,76
author,1748652238066,72
author,1748652248814,79
author,1748652259505,77
author,1748652270241,73
author,1748652280957,74
author,1748652291686,67
author,1748652302311,76
author,1748652312979,77
author,1748652323582,81
author,1748652334267,79
author,1748652344965,78
author,1748652355626,70
author,1748652366188,80
author,1748652376931,77
author,1748652387777,77
author,1748652398598,80
author,1748652409285,64
author,1748652419972,76
author,1748652430647,77
author,1748652441314,81
author,1748652452008,77
author,1748652462705,77
author,1748652473462,77
author,1748652484193,79
author,1748652494825,75
author,1748652505595,76
author,1748652516247,59
author,1748652526964,77
author,1748652537655,62
author,1748652548280,61
author,1748652558917,79
author,1748652569655,63
author,1748652580345,62
author,1748652591091,80
author,1748652601851,77
author,1748652612577,79
author,1748652623260,80
author,1748652633842,75
author,1748652644514,52
author,1748652655114,82
author,1748652665837,60
author,1748652676563,75
author,1748652687257,74
author,1748652697982,76
author,1748652708674,81
author,1748652719407,80
author,1748652730036,79
author,1748652740620,78
author,1748652751313,77
author,1748652762084,78
pseudo vote,1748651701531,77
pseudo vote,1748651712345,56
pseudo vote,1748651723069,77
pseudo vote,1748651733754,74
pseudo vote,1748651744460,68
pseudo vote,1748651755188,69
pseudo vote,1748651765749,75
pseudo vote,1748651776393,74
pseudo vote,1748651787038,75
pseudo vote,1748651797637,76
pseudo vote,1748651808258,58
pseudo vote,1748651818899,57
pseudo vote,1748651829613,75
pseudo vote,1748651840339,74
pseudo vote,1748651851181,78
pseudo vote,1748651861851,74
pseudo vote,1748651872518,54
pseudo vote,1748651883197,75
pseudo vote,1748651893930,80
pseudo vote,1748651904676,74
pseudo vote,1748651915353,59
pseudo vote,1748651925981,81
pseudo vote,1748651936769,79
pseudo vote,1748651947467,73
pseudo vote,1748651958150,74
pseudo vote,1748651968817,62
pseudo vote,1748651979379,74
pseudo vote,1748651989947,75
pseudo vote,1748652000591,74
pseudo vote,1748652011327,74
pseudo vote,1748652022005,76
pseudo vote,1748652032708,75
pseudo vote,1748652043358,78
pseudo vote,1748652054060,48
pseudo vote,1748652064769,72
pseudo vote,1748652075412,74
pseudo vote,1748652086133,75
pseudo vote,1748652096895,77
pseudo vote,1748652107552,74
pseudo vote,1748652118272,58
pseudo vote,1748652128954,72
pseudo vote,1748652139591,76
pseudo vote,1748652150167,73
pseudo vote,1748652160836,72
