type,count,mean,std,min,25%,50%,75%,max
ban,100.0,505.02,260.32388451405075,56.0,279.5,509.5,716.0,951.0
rep,100.0,1403.81,269.02997073098595,963.0,1174.5,1397.5,1620.25,2179.0
