type,start_ms,duration_ms
pseudo msg,1748651460568,1661
pseudo msg,1748651472225,1647
pseudo msg,1748651483845,1688
pseudo msg,1748651495479,1656
pseudo msg,1748651507094,1674
pseudo msg,1748651518680,1679
pseudo msg,1748651530329,1662
pseudo msg,1748651541931,1650
pseudo msg,1748651553624,1646
pseudo msg,1748651565323,1647
pseudo msg,1748651577019,1646
pseudo msg,1748651588599,1706
pseudo msg,1748651600289,1654
pseudo msg,1748651611998,1682
pseudo msg,1748651623699,1708
pseudo msg,1748651635478,1650
pseudo msg,1748651647232,1657
pseudo msg,1748651658951,1653
pseudo msg,1748651670739,1667
pseudo msg,1748651682413,1719
author,1748651702521,1514
author,1748651713300,1508
author,1748651724034,1522
author,1748651734736,1480
author,1748651745438,1465
author,1748651756136,1447
author,1748651766705,1458
author,1748651777352,1453
author,1748651787995,1480
author,1748651798563,1480
author,1748651809211,1478
author,1748651819846,1491
author,1748651830589,1461
author,1748651841465,1450
author,1748651852140,1471
author,1748651862815,1467
author,1748651873463,1455
author,1748651884183,1468
author,1748651894900,1479
author,1748651905667,1473
author,1748651916325,1452
author,1748651927002,1456
author,1748651937769,1459
author,1748651948460,1454
author,1748651959141,1466
author,1748651969766,1458
author,1748651980345,1465
author,1748651990909,1465
author,1748652001571,1494
author,1748652012305,1488
author,1748652022980,1470
author,1748652033692,1455
author,1748652044339,1455
author,1748652054996,1471
author,1748652065724,1459
author,1748652076389,1476
author,1748652087126,1481
author,1748652097861,1477
author,1748652108532,1463
author,1748652119222,1459
author,1748652129944,1452
author,1748652140550,1479
author,1748652151140,1487
author,1748652161817,1484
author,1748652172520,1500
author,1748652183193,1496
author,1748652193937,1486
author,1748652204579,1470
author,1748652215226,1458
author,1748652225932,1460
author,1748652236579,1458
author,1748652247347,1443
author,1748652258021,1462
author,1748652268758,1454
author,1748652279459,1478
author,1748652290176,1487
author,1748652300793,1489
author,1748652311477,1483
author,1748652322107,1459
author,1748652332794,1455
author,1748652343448,1494
author,1748652354138,1472
author,1748652364707,1458
author,1748652375451,1456
author,1748652386312,1445
author,1748652397127,1449
author,1748652407832,1442
author,1748652418487,1465
author,1748652429179,1448
author,1748652439839,1451
author,1748652450534,1453
author,1748652461230,1452
author,1748652471962,1478
author,1748652482695,1475
author,1748652493341,1463
author,1748652504121,1452
author,1748652514757,1470
author,1748652525495,1449
author,1748652536133,1500
author,1748652546770,1486
author,1748652557396,1498
author,1748652568128,1505
author,1748652578803,1521
author,1748652589546,1523
author,1748652600322,1508
author,1748652611084,1468
author,1748652621766,1469
author,1748652632377,1445
author,1748652643054,1453
author,1748652653623,1468
author,1748652664338,1477
author,1748652675063,1479
author,1748652685788,1450
author,1748652696519,1446
author,1748652707205,1458
author,1748652717936,1446
author,1748652728563,1458
author,1748652739154,1451
author,1748652749845,1446
author,1748652760600,1458
pseudo vote,1748651700099,1410
pseudo vote,1748651710875,1452
pseudo vote,1748651721627,1419
pseudo vote,1748651732293,1441
pseudo vote,1748651743001,1439
pseudo vote,1748651753728,1438
