type,count,mean,std,min,25%,50%,75%,max
latency,10.0,254.6,64.27579464913504,217.0,224.75,235.5,247.0,433.0
proof_gen,10.0,1651.1,36.247452017731916,1611.0,1623.5,1639.0,1672.25,1721.0
proof_verify,10.0,117.8,8.052604823561408,105.0,111.75,119.0,123.0,130.0
