type,count,mean,std,min,25%,50%,75%,max
ban,10.0,103.9,30.17154656662834,67.0,75.0,109.0,131.5,140.0
rep,10.0,191.6,26.403703443940504,159.0,174.5,188.0,209.5,238.0
