type,count,mean,std,min,25%,50%,75%,max
author,100.0,1507.63,27.758574978706772,1452.0,1489.75,1507.0,1525.0,1618.0
badge,100.0,1389.41,29.33956373227114,1336.0,1368.0,1388.5,1404.0,1546.0
pseudo_msg,100.0,1700.85,34.764539869286814,1650.0,1670.75,1697.5,1724.25,1795.0
pseudo_vote,100.0,1467.37,28.735173603446388,1412.0,1445.75,1461.5,1486.0,1556.0
rate_pseudo,100.0,1727.04,23.962900618677335,1686.0,1709.5,1727.0,1741.75,1787.0
