type,count,mean,std,min,25%,50%,75%,max
latency,10.0,246.0,9.404490653110589,229.0,241.5,250.0,250.75,257.0
proof_gen,10.0,1624.8,15.046594299043221,1602.0,1613.5,1625.0,1637.0,1647.0
proof_verify,10.0,125.8,7.0992957397195395,113.0,122.25,128.5,130.75,133.0
