type,start_ms,duration_ms
author,1748482766793,194
author,1748482781821,184
author,1748482796827,197
author,1748482811935,188
author,1748482827107,190
author,1748482842139,199
author,1748482857287,211
author,1748482872440,188
author,1748482887557,193
author,1748482902740,189
author,1748482917933,184
author,1748482932886,207
author,1748482948084,176
author,1748482963394,206
author,1748482978589,193
author,1748482993777,183
author,1748483008988,166
author,1748483024258,197
author,1748483039518,191
author,1748483054898,204
author,1748483070129,185
author,1748483085291,199
author,1748483100556,179
author,1748483115806,245
author,1748483131173,197
author,1748483146621,197
author,1748483161816,253
author,1748483177093,177
author,1748483192427,200
author,1748483207665,198
author,1748483222953,170
author,1748483238332,189
author,1748483253776,179
author,1748483269154,197
author,1748483284799,201
author,1748483300370,188
author,1748483315750,179
author,1748483331187,197
author,1748483346617,172
author,1748483362081,172
author,1748483377745,188
author,1748483393284,190
author,1748483408814,210
author,1748483424243,162
author,1748483439808,201
author,1748483455276,194
author,1748483470813,167
author,1748483486239,647
author,1748483503349,167
author,1748483518804,192
author,1748483534326,241
author,1748483550032,176
author,1748483565397,169
author,1748483580908,194
author,1748483596563,189
author,1748483612129,172
author,1748483627587,190
author,1748483643176,190
author,1748483658907,193
author,1748483674557,193
author,1748483690224,176
author,1748483705829,196
author,1748483721515,191
author,1748483737107,209
author,1748483752773,170
author,1748483768290,205
author,1748483783979,185
author,1748483799703,193
author,1748483815416,195
author,1748483831043,160
author,1748483846528,198
author,1748483862156,190
author,1748483877771,191
author,1748483893529,181
author,1748483909238,170
author,1748483924893,197
author,1748483940727,195
author,1748483956506,195
author,1748483972299,208
author,1748483988090,181
author,1748484003800,176
author,1748484019377,169
author,1748484035031,193
author,1748484050827,163
author,1748484066457,196
author,1748484082407,199
author,1748484098366,179
author,1748484114180,186
author,1748484129904,185
author,1748484145749,198
author,1748484161683,192
author,1748484177673,193
author,1748484193617,194
author,1748484209673,190
author,1748484225611,198
author,1748484241552,197
author,1748484257397,167
author,1748484273138,180
author,1748484289096,171
author,1748484305318,228
rate_pseudo,1748482758838,245
rate_pseudo,1748482773802,235
rate_pseudo,1748482788858,249
rate_pseudo,1748482803987,248
rate_pseudo,1748482819023,264
rate_pseudo,1748482834151,256
rate_pseudo,1748482849306,260
rate_pseudo,1748482864375,244
rate_pseudo,1748482879546,256
rate_pseudo,1748482894721,253
rate_pseudo,1748482909852,255
rate_pseudo,1748482925052,226
rate_pseudo,1748482940138,263
rate_pseudo,1748482955222,273
rate_pseudo,1748482970552,261
rate_pseudo,1748482985792,236
rate_pseudo,1748483000923,251
rate_pseudo,1748483016113,257
rate_pseudo,1748483031470,237
rate_pseudo,1748483046717,277
rate_pseudo,1748483062055,258
rate_pseudo,1748483077244,269
rate_pseudo,1748483092491,255
rate_pseudo,1748483107712,252
rate_pseudo,1748483123125,274
rate_pseudo,1748483138516,259
rate_pseudo,1748483153811,260
rate_pseudo,1748483169127,223
rate_pseudo,1748483184386,262
rate_pseudo,1748483199639,258
rate_pseudo,1748483214995,257
