type,count,mean,std,min,25%,50%,75%,max
latency,100.0,243.53,14.908783256249254,215.0,237.25,245.0,249.0,320.0
proof_gen,100.0,1648.04,26.543244684549,1604.0,1626.75,1647.0,1663.0,1720.0
proof_verify,100.0,126.32,7.036528069490472,113.0,118.75,130.0,131.0,136.0
